Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T5,max_bid_Pro
painting_1,sold,Llama,2100,600,850,2100,1900,900
painting_2,sold,Math-T5,1300,800,850,750,1300,1200
painting_3,sold,Math-T5,1400,1000,850,750,1400,1300
painting_4,sold,Math-T5,1500,1000,1100,750,1500,1400
painting_5,sold,Llama,2800,1400,600,2800,2300,2600
painting_6,sold,Math-T5,3000,1100,1200,2900,3000,1600
painting_7,sold,Llama,3500,1400,100,3500,2800,3250
painting_8,sold,Pro,2800,1800,850,1400,2400,2800
painting_9,sold,GPT-5.4,2900,2900,100,450,2800,1900
painting_10,sold,Grok,2800,2500,2800,500,2700,2300
painting_11,sold,Pro,7200,,100,,,7200
painting_12,sold,Grok,4000,3750,4000,1400,2600,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,1,7100,2900,0.29,12,12,0,2941.667
Grok,2,3200,6800,0.68,12,12,0,2941.667
Llama,3,1600,8400,0.84,12,12,0,2941.667
Math-T5,4,2800,7200,0.72,12,12,0,2941.667
Pro,2,0,10000,1.0,12,12,0,2941.667
