Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1600,1600,800,500,1500,1000
painting_2,sold,Math-T5,1700,1700,1300,1200,1500,1600
painting_3,sold,Mimic-Opus,950,,900,800,950,350
painting_4,sold,Math-T5,1700,1700,1400,450,650,1600
painting_5,sold,Math-T5,1950,1950,1650,800,950,1850
painting_6,sold,Math-T5,2200,2200,2100,1300,1600,2000
painting_7,sold,Mimic-Pro,2300,300,2200,2100,1700,2300
painting_8,sold,Mimic-GPT-5.4,3500,650,3500,3250,2100,1700
painting_9,sold,Mimic-Grok,2700,250,2600,2700,2100,1700
painting_10,sold,Mimic-Opus,3350,,3100,2500,3350,750
painting_11,sold,Mimic-Grok,6000,,5750,6000,2300,5000
painting_12,sold,Mimic-GPT-5.4,6250,300,6250,500,5250,6000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,850,9150,0.915,12,12,0,2850.0
Mimic-GPT-5.4,2,250,9750,0.975,12,12,0,2850.0
Mimic-Grok,2,1300,8700,0.87,12,12,0,2850.0
Mimic-Opus,2,5700,4300,0.43,12,12,0,2850.0
Mimic-Pro,1,7700,2300,0.23,12,12,0,2850.0
