Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1350,1050,800,1350,550,1250
painting_2,sold,Mimic-Opus,1400,950,1300,800,1400,1200
painting_3,sold,Mimic-Llama,1400,1000,,1400,850,1300
painting_4,sold,Mimic-Llama,1700,1300,1400,1700,850,1600
painting_5,sold,Mimic-Grok,1700,1600,1700,500,850,1500
painting_6,sold,Mimic-GPT-5.4,2000,2000,1100,1200,1300,1900
painting_7,sold,Mimic-Opus,2100,1400,1600,1700,2100,2000
painting_8,sold,Mimic-Pro,2700,2400,1700,2600,1200,2700
painting_9,sold,Mimic-Grok,3500,3250,3500,2200,2400,2500
painting_10,sold,Mimic-GPT-5.4,3750,3750,1300,2700,2000,3250
painting_11,sold,Mimic-Pro,4500,3500,2700,4250,3000,4500
painting_12,sold,Mimic-Opus,4100,3100,3600,3850,4100,2300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,4250,5750,0.575,12,12,0,2516.667
Mimic-Grok,2,4800,5200,0.52,12,12,0,2516.667
Mimic-Llama,3,5550,4450,0.445,12,12,0,2516.667
Mimic-Opus,3,2400,7600,0.76,12,12,0,2516.667
Mimic-Pro,2,2800,7200,0.72,12,12,0,2516.667
