Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,850,750,600,650,850,800
painting_2,sold,Mimic-Pro,1100,900,1000,800,850,1100
painting_3,sold,Mimic-GPT-5.4,1200,1000,1200,750,800,1100
painting_4,sold,Math-T3,1000,1000,950,750,800,900
painting_5,sold,Mimic-Grok,1200,950,1100,1200,400,1000
painting_6,sold,Mimic-Grok,1600,1100,900,1600,1500,1200
painting_7,sold,Math-T3,1900,1900,1300,950,1400,1800
painting_8,sold,Mimic-Opus,1950,1250,1850,1050,1950,1650
painting_9,sold,Mimic-Pro,2400,1900,2300,900,1500,2400
painting_10,sold,Math-T3,3250,3250,3000,1600,1700,2400
painting_11,sold,Mimic-GPT-5.4,4750,3000,4750,2900,2500,4250
painting_12,sold,Mimic-Opus,3750,3250,2100,2900,3750,1900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3850,6150,0.615,12,12,0,2079.167
Mimic-GPT-5.4,2,4050,5950,0.595,12,12,0,2079.167
Mimic-Grok,2,7200,2800,0.28,12,12,0,2079.167
Mimic-Opus,3,3450,6550,0.655,12,12,0,2079.167
Mimic-Pro,2,6500,3500,0.35,12,12,0,2079.167
