Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1400,750,900,1100,1000,1400
painting_2,sold,Mimic-Llama,1500,800,1100,1500,1400,1000
painting_3,sold,Mimic-Llama,1300,1000,850,1300,500,400
painting_4,sold,Mimic-Opus,1500,1400,1000,800,1500,550
painting_5,sold,Math-T3,1500,1500,1400,850,750,900
painting_6,sold,Mimic-Llama,1800,1300,1700,1800,1200,950
painting_7,sold,Math-T3,2200,2200,2000,1600,2100,1200
painting_8,sold,Mimic-GPT-5.4,3500,1500,3500,3250,2600,1200
painting_9,sold,Mimic-Opus,2750,1950,1750,2550,2750,2650
painting_10,sold,Mimic-Pro,4250,4000,3750,2800,2000,4250
painting_11,sold,Math-T3,4400,4400,4150,1350,2850,1450
painting_12,sold,Mimic-GPT-5.4,5250,1800,5250,5000,2100,1100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1900,8100,0.81,12,12,0,2612.5
Mimic-GPT-5.4,2,1250,8750,0.875,12,12,0,2612.5
Mimic-Llama,3,5400,4600,0.46,12,12,0,2612.5
Mimic-Opus,2,5750,4250,0.425,12,12,0,2612.5
Mimic-Pro,2,4350,5650,0.565,12,12,0,2612.5
