Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,600,1000,400,800,1100
painting_2,sold,Mimic-GPT-5.4,950,900,950,750,800,450
painting_3,sold,Mimic-Opus,1100,900,850,950,1100,1000
painting_4,sold,Mimic-Grok,1200,1100,1000,1200,450,650
painting_5,sold,Math-T2,1100,1100,900,1000,800,750
painting_6,sold,Mimic-Pro,1600,1200,1400,900,1000,1600
painting_7,sold,Mimic-GPT-5.4,1500,1400,1500,1100,1200,600
painting_8,sold,Mimic-Opus,2000,1700,1200,1900,2000,1500
painting_9,sold,Mimic-Grok,2300,2200,1400,2300,1200,1700
painting_10,sold,Math-T2,2300,2300,2200,1000,1300,2100
painting_11,sold,Mimic-Pro,3500,3250,2800,1900,2200,3500
painting_12,sold,Math-T2,6500,6500,5000,550,6250,2000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,100,9900,0.99,12,12,0,2095.833
Mimic-GPT-5.4,2,7550,2450,0.245,12,12,0,2095.833
Mimic-Grok,2,6500,3500,0.35,12,12,0,2095.833
Mimic-Opus,2,6900,3100,0.31,12,12,0,2095.833
Mimic-Pro,3,3800,6200,0.62,12,12,0,2095.833
