Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,850,1000,750,900,1100
painting_2,sold,Mimic-Llama,1500,950,550,1500,1300,350
painting_3,sold,Mimic-Llama,1300,900,500,1300,950,1100
painting_4,sold,Mimic-Opus,1050,950,400,900,1050,550
painting_5,sold,Mimic-GPT-5.4,1400,1400,700,250,1300,850
painting_6,sold,Mimic-Llama,1900,1000,1700,1900,1600,950
painting_7,sold,Mimic-Llama,1900,1500,1800,1900,1700,1400
painting_8,sold,Mimic-Grok,2400,2100,2400,500,2200,1900
painting_9,sold,Mimic-Grok,2200,2000,2200,600,2100,1800
painting_10,sold,Mimic-GPT-5.4,3250,3250,,2200,3000,2600
painting_11,sold,Mimic-Opus,3550,2850,450,1550,3550,3300
painting_12,sold,Mimic-Pro,5150,4900,850,3150,3900,5150

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,5350,4650,0.465,12,12,0,2225.0
Mimic-Grok,2,5400,4600,0.46,12,12,0,2225.0
Mimic-Llama,4,3400,6600,0.66,12,12,0,2225.0
Mimic-Opus,2,5400,4600,0.46,12,12,0,2225.0
Mimic-Pro,2,3750,6250,0.625,12,12,0,2225.0
