Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,800,900,1000,,1100
painting_2,sold,Mimic-Llama,1500,900,1000,1500,1200,1400
painting_3,sold,Mimic-Llama,1600,1000,1200,1600,1400,1100
painting_4,sold,Math-T3,1500,1500,1400,1000,1200,900
painting_5,sold,Mimic-GPT-5.4,1400,950,1400,600,1300,1000
painting_6,sold,Mimic-Opus,1700,950,1100,1600,1700,1500
painting_7,sold,Math-T3,1900,1900,1300,1500,1600,1800
painting_8,sold,Mimic-Pro,2050,1350,1650,1750,1850,2050
painting_9,sold,Mimic-Llama,2500,1400,2400,2500,2300,2000
painting_10,sold,Math-T3,4000,4000,3750,1100,2500,2300
painting_11,sold,Mimic-Opus,6000,1600,5750,2600,6000,3500
painting_12,sold,Mimic-GPT-5.4,4650,2500,4650,4400,1900,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,2600,7400,0.74,12,12,0,2491.667
Mimic-GPT-5.4,2,3950,6050,0.605,12,12,0,2491.667
Mimic-Llama,3,4400,5600,0.56,12,12,0,2491.667
Mimic-Opus,2,2300,7700,0.77,12,12,0,2491.667
Mimic-Pro,2,6850,3150,0.315,12,12,0,2491.667
