Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T4,2200,2200,850,900,2100,1000
painting_2,sold,Math-T4,2300,2300,1200,900,2200,1700
painting_3,sold,Mimic-Llama,4750,4250,1100,1200,4750,1600
painting_4,sold,Math-T4,2200,2200,1700,850,2100,1900
painting_5,sold,Mimic-Llama,3300,3050,2450,2050,3300,2150
painting_6,sold,Math-T4,2500,2500,2000,1400,1800,2400
painting_7,sold,Mimic-GPT-5.4,3600,800,3600,3350,1900,2200
painting_8,sold,Mimic-GPT-5.4,3000,550,3000,1900,1700,2900
painting_9,sold,Mimic-Pro,4000,800,1900,3750,1800,4000
painting_10,sold,Mimic-Grok,3750,750,3000,3750,1700,3500
painting_11,sold,Mimic-Grok,4600,700,3100,4600,1800,4350
painting_12,sold,Mimic-Pro,3650,750,3400,900,1900,3650

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,800,9200,0.92,12,12,0,3320.833
Mimic-GPT-5.4,2,3400,6600,0.66,12,12,0,3320.833
Mimic-Grok,2,1650,8350,0.835,12,12,0,3320.833
Mimic-Llama,2,1950,8050,0.805,12,12,0,3320.833
Mimic-Pro,2,2350,7650,0.765,12,12,0,3320.833
