Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1700,1700,250,750,600,1600
painting_2,sold,Math-T4,4250,4250,1100,4000,650,1700
painting_3,sold,Mimic-Llama,4000,3750,1300,4000,2300,1100
painting_4,sold,Mimic-Llama,3850,3350,1900,3850,2500,1800
painting_5,sold,Math-T4,4000,4000,2800,600,3750,2600
painting_6,sold,Mimic-Grok,2900,,2900,1900,2800,2500
painting_7,sold,Mimic-Opus,2850,,600,1950,2850,2750
painting_8,sold,Mimic-Opus,4250,,3750,2100,4250,3250
painting_9,sold,Mimic-Pro,6500,,6250,1900,1200,6500
painting_10,sold,Mimic-Pro,2100,,1700,1900,2000,2100
painting_11,sold,Mimic-Grok,2400,,2400,2000,2300,1300
painting_12,sold,Mimic-Grok,3100,,3100,2000,2900,1200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,50,9950,0.995,12,12,0,3491.667
Mimic-Grok,3,1600,8400,0.84,12,12,0,3491.667
Mimic-Llama,2,2150,7850,0.785,12,12,0,3491.667
Mimic-Opus,2,2900,7100,0.71,12,12,0,3491.667
Mimic-Pro,2,1400,8600,0.86,12,12,0,3491.667
