Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,700,500,1000,300,1100
painting_2,sold,Mimic-Llama,1900,800,1600,1900,1800,1400
painting_3,sold,Mimic-Llama,1400,1100,1000,1400,1300,900
painting_4,sold,Mimic-Opus,1700,1500,850,450,1700,1000
painting_5,sold,Mimic-Opus,1700,1000,950,650,1700,1600
painting_6,sold,Mimic-GPT-5.4,1700,1700,1600,1100,950,1400
painting_7,sold,Mimic-Llama,4250,1800,4000,4250,950,1500
painting_8,sold,Mimic-GPT-5.4,1800,1800,1500,850,650,1700
painting_9,sold,Mimic-Grok,2250,2050,2250,1150,1450,2150
painting_10,sold,Mimic-Pro,3250,2800,3000,1900,2400,3250
painting_11,sold,Mimic-GPT-5.4,3750,3750,3250,2300,2200,1100
painting_12,sold,Mimic-Opus,5500,1900,5000,2300,5500,4500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,3,2750,7250,0.725,12,12,0,2525.0
Mimic-Grok,1,7750,2250,0.225,12,12,0,2525.0
Mimic-Llama,3,2450,7550,0.755,12,12,0,2525.0
Mimic-Opus,3,1100,8900,0.89,12,12,0,2525.0
Mimic-Pro,2,5650,4350,0.435,12,12,0,2525.0
