Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,950,750,850,600,950,900
painting_2,sold,Mimic-GPT-5.4,1200,750,1200,250,1100,900
painting_3,sold,Mimic-Llama,1200,950,1000,350,1200,1100
painting_4,sold,Mimic-Llama,1800,850,900,1600,1800,1300
painting_5,sold,Mimic-Opus,1400,1300,250,1000,900,1400
painting_6,sold,Mimic-Opus,1800,1100,1200,1700,1600,1800
painting_7,sold,Mimic-Grok,2100,1600,1700,2100,2000,650
painting_8,sold,Mimic-Llama,2500,2000,2400,2200,2500,1800
painting_9,sold,Mimic-GPT-5.4,2700,2600,2700,1300,950,900
painting_10,sold,Math-T2,3500,3500,2800,3000,3250,1600
painting_11,sold,Mimic-Grok,3550,2850,2950,3550,2150,3300
painting_12,sold,Mimic-Opus,6350,6100,4600,,2200,6350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,1,6500,3500,0.35,12,12,0,2420.833
Mimic-GPT-5.4,2,6100,3900,0.39,12,12,0,2420.833
Mimic-Grok,2,4350,5650,0.565,12,12,0,2420.833
Mimic-Llama,4,3550,6450,0.645,12,12,0,2420.833
Mimic-Opus,3,450,9550,0.955,12,12,0,2420.833
