Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,GPT-5.4,950,950,600,900,800,850
painting_2,sold,Llama,1000,850,350,1000,900,950
painting_3,sold,Llama,1600,800,100,1600,1100,1500
painting_4,sold,Opus,1700,1300,850,1600,1700,1500
painting_5,sold,Pro,1300,950,1200,900,1000,1300
painting_6,sold,Llama,1600,950,1400,1600,1000,1100
painting_7,sold,Llama,2100,2000,1500,2100,1000,1100
painting_8,sold,Grok,1800,1700,1800,700,1400,1500
painting_9,sold,GPT-5.4,2100,2100,2000,900,1800,1900
painting_10,sold,Pro,2400,2200,2100,1300,2300,2400
painting_11,sold,Opus,4000,3750,3500,2800,4000,3250
painting_12,sold,Grok,7050,6800,7050,150,250,6300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6950,3050,0.305,12,12,0,2300.0
Grok,2,1150,8850,0.885,12,12,0,2300.0
Llama,4,3700,6300,0.63,12,12,0,2300.0
Opus,2,4300,5700,0.57,12,12,0,2300.0
Pro,2,6300,3700,0.37,12,12,0,2300.0
