Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1000,1000,,950,450,300
painting_2,sold,Math-T1,4500,4500,900,4250,1300,1500
painting_3,sold,Mimic-Llama,4500,4250,1500,4500,1000,1300
painting_4,sold,Math-T1,3500,3500,1600,3250,1700,1900
painting_5,sold,Mimic-Llama,2300,800,1800,2300,1900,2100
painting_6,sold,Mimic-Opus,3000,1000,900,2800,3000,2400
painting_7,sold,Mimic-Grok,4000,800,4000,3000,2500,3500
painting_8,sold,Mimic-Pro,3000,800,1000,2800,2200,3000
painting_9,sold,Mimic-Opus,4600,850,4100,2800,4600,3600
painting_10,sold,Mimic-Pro,5500,1000,5250,3000,1900,5500
painting_11,sold,Mimic-Grok,3000,750,3000,2900,2300,1400
painting_12,sold,Mimic-Llama,3000,850,2800,3000,2100,1400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1000,9000,0.9,12,12,0,3491.667
Mimic-Grok,2,3000,7000,0.7,12,12,0,3491.667
Mimic-Llama,3,200,9800,0.98,12,12,0,3491.667
Mimic-Opus,2,2400,7600,0.76,12,12,0,3491.667
Mimic-Pro,2,1500,8500,0.85,12,12,0,3491.667
