Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1000,700,750,150,950,1000
painting_2,sold,Mimic-Llama,1300,850,1100,750,1300,800
painting_3,sold,Mimic-Grok,1700,1000,1100,1700,1600,950
painting_4,sold,Mimic-GPT-5.4,1400,1300,1400,350,1200,
painting_5,sold,Mimic-Llama,1600,1400,850,950,1600,1000
painting_6,sold,Math-T3,1900,1900,1400,500,1800,1200
painting_7,sold,Math-T3,1750,1750,1650,1350,1250,1450
painting_8,sold,Mimic-Llama,2100,1200,2000,850,2100,550
painting_9,sold,Mimic-GPT-5.4,2900,2100,2900,1900,100,2800
painting_10,sold,Mimic-Pro,4250,3500,1800,2800,2000,4250
painting_11,sold,Mimic-Grok,6250,6000,2800,6250,4750,3500
painting_12,sold,Math-T3,5000,5000,3750,200,2700,4750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,1350,8650,0.865,12,12,0,2595.833
Mimic-GPT-5.4,2,5700,4300,0.43,12,12,0,2595.833
Mimic-Grok,2,2050,7950,0.795,12,12,0,2595.833
Mimic-Llama,3,5000,5000,0.5,12,12,0,2595.833
Mimic-Pro,2,4750,5250,0.525,12,12,0,2595.833
