Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1600,550,1200,350,1500,1600
painting_2,sold,Mimic-Opus,1100,1000,950,700,1100,800
painting_3,sold,Math-T3,950,950,900,850,750,650
painting_4,sold,Mimic-Pro,1100,900,1000,950,650,1100
painting_5,sold,Mimic-GPT-5.4,1400,1200,1400,1000,1300,450
painting_6,sold,Mimic-Grok,1600,1500,1100,1600,950,800
painting_7,sold,Math-T3,1500,1500,1300,900,1200,1400
painting_8,sold,Mimic-GPT-5.4,1800,1400,1800,1600,1500,950
painting_9,sold,Mimic-Grok,2500,2100,1400,2500,2200,2000
painting_10,sold,Math-T3,2900,2900,2200,850,2800,2600
painting_11,sold,Mimic-Pro,4300,4050,2950,2150,3550,4300
painting_12,sold,Mimic-Opus,5500,4000,5250,650,5500,800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,4650,5350,0.535,12,12,0,2187.5
Mimic-GPT-5.4,2,6800,3200,0.32,12,12,0,2187.5
Mimic-Grok,2,5900,4100,0.41,12,12,0,2187.5
Mimic-Opus,2,3400,6600,0.66,12,12,0,2187.5
Mimic-Pro,3,3000,7000,0.7,12,12,0,2187.5
