Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Pro,1100,950,650,1000,700,1100
painting_2,sold,Llama,950,800,900,950,700,750
painting_3,sold,Opus,1000,900,400,950,1000,700
painting_4,sold,GPT-5.4,1200,1200,150,1100,800,850
painting_5,sold,GPT-5.4,1200,1200,950,900,1000,1100
painting_6,sold,Grok,1500,800,1500,1400,950,1000
painting_7,sold,Pro,1600,1200,1400,1300,1500,1600
painting_8,sold,Llama,1900,1500,1700,1900,1800,1000
painting_9,sold,Llama,2300,1600,2100,2300,2200,1500
painting_10,sold,Pro,2900,2100,2700,2600,2800,2900
painting_11,sold,Opus,4000,3500,3750,2600,4000,2000
painting_12,sold,Grok,7601,,7601,4850,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,7600,2400,0.24,12,12,0,2270.917
Grok,2,899,9101,0.91,12,12,0,2270.917
Llama,3,4850,5150,0.515,12,12,0,2270.917
Opus,2,5000,5000,0.5,12,12,0,2270.917
Pro,3,4400,5600,0.56,12,12,0,2270.917
