Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1200,700,950,1100,1000,1200
painting_2,sold,Mimic-Llama,1300,1200,900,1300,950,1100
painting_3,sold,Mimic-Llama,1400,1300,750,1400,1100,950
painting_4,sold,Mimic-Opus,1700,1600,1300,950,1700,1500
painting_5,sold,Mimic-GPT-5.4,1500,1500,1000,850,1300,350
painting_6,sold,Mimic-Llama,2000,1400,1900,2000,1600,1800
painting_7,sold,Mimic-Grok,1900,1100,1900,1400,1800,1500
painting_8,sold,Mimic-GPT-5.4,2200,2200,1900,1500,2000,2100
painting_9,sold,Mimic-Llama,2800,1800,1900,2800,2700,2600
painting_10,sold,Mimic-Pro,4250,2600,3500,1200,2800,4250
painting_11,sold,Mimic-Grok,6500,3000,6500,2100,6250,2800
painting_12,sold,Mimic-Opus,6300,6050,350,2450,6300,2950

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,6300,3700,0.37,12,12,0,2754.167
Mimic-Grok,2,1600,8400,0.84,12,12,0,2754.167
Mimic-Llama,4,2500,7500,0.75,12,12,0,2754.167
Mimic-Opus,2,2000,8000,0.8,12,12,0,2754.167
Mimic-Pro,2,4550,5450,0.545,12,12,0,2754.167
