Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2754.167

painting_1 | status=sold | winner=Mimic-Pro | winning_bid=1200
  turn 1: Mimic-GPT-5.4 RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 350 (before=250, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 450 (before=350, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 500 (before=450, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 550 (before=500, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 600 (before=550, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 650 (before=600, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 750 (before=700, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 800 (before=750, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 850 (before=800, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 900 (before=850, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 PASS (before=900, leader_after=bidder_5)
  turn 17: Mimic-Grok RAISE to 950 (before=900, leader_after=bidder_2)
  turn 18: Mimic-Opus RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 19: Mimic-Llama RAISE to 1100 (before=1000, leader_after=bidder_4)
  turn 20: Mimic-Pro RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 21: Mimic-Grok PASS (before=1200, leader_after=bidder_5)
  turn 22: Mimic-Opus PASS (before=1200, leader_after=bidder_5)
  turn 23: Mimic-Llama PASS (before=1200, leader_after=bidder_5)

painting_2 | status=sold | winner=Mimic-Llama | winning_bid=1300
  turn 1: Mimic-GPT-5.4 RAISE to 150 (before=0, leader_after=bidder_1)
  turn 2: Mimic-Grok RAISE to 200 (before=150, leader_after=bidder_2)
  turn 3: Mimic-Opus RAISE to 300 (before=200, leader_after=bidder_3)
  turn 4: Mimic-Llama RAISE to 400 (before=300, leader_after=bidder_4)
  turn 5: Mimic-Pro RAISE to 450 (before=400, leader_after=bidder_5)
  turn 6: Mimic-GPT-5.4 RAISE to 550 (before=450, leader_after=bidder_1)
  turn 7: Mimic-Grok RAISE to 600 (before=550, leader_after=bidder_2)
  turn 8: Mimic-Opus RAISE to 650 (before=600, leader_after=bidder_3)
  turn 9: Mimic-Llama RAISE to 700 (before=650, leader_after=bidder_4)
  turn 10: Mimic-Pro RAISE to 800 (before=700, leader_after=bidder_5)
  turn 11: Mimic-GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_1)
  turn 12: Mimic-Grok RAISE to 900 (before=850, leader_after=bidder_2)
  turn 13: Mimic-Opus RAISE to 950 (before=900, leader_after=bidder_3)
  turn 14: Mimic-Llama RAISE to 1000 (before=950, leader_after=bidder_4)
  turn 15: Mimic-Pro RAISE to 1100 (before=1000, leader_after=bidder_5)
  turn 16: Mimic-GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_1)
  turn 17: Mimic-Grok PASS (before=1200, leader_after=bidder_1)
  turn 18: Mimic-Opus PASS (before=1200, leader_after=bidder_1)
  turn 19: Mimic-Llama RAISE to 1300 (before=1200, leader_after=bidder_4)
  turn 20: Mimic-Pro PASS (before=1300, leader_after=bidder_4)
