Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1400,1300,800,1400,750,1100
painting_2,sold,Mimic-Opus,1300,1200,850,700,1300,1000
painting_3,sold,Mimic-Pro,1200,1100,400,1000,350,1200
painting_4,sold,Mimic-Llama,1600,900,1500,1600,1300,950
painting_5,sold,Mimic-Pro,1600,1100,1400,1300,650,1600
painting_6,sold,Mimic-Opus,2000,1900,750,1700,2000,850
painting_7,sold,Mimic-Llama,1800,700,1600,1800,1300,1000
painting_8,sold,Mimic-GPT-5.4,3250,3250,2800,3000,1200,1000
painting_9,sold,Mimic-Grok,3600,2600,3600,3100,1100,2000
painting_10,sold,Mimic-Pro,3750,2500,3500,3000,2200,3750
painting_11,sold,Mimic-Opus,5000,4500,2700,4750,5000,1400
painting_12,sold,Mimic-GPT-5.4,4700,4700,3950,4450,1300,2800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,2050,7950,0.795,12,12,0,2600.0
Mimic-Grok,1,6400,3600,0.36,12,12,0,2600.0
Mimic-Llama,3,5200,4800,0.48,12,12,0,2600.0
Mimic-Opus,3,1700,8300,0.83,12,12,0,2600.0
Mimic-Pro,3,3450,6550,0.655,12,12,0,2600.0
