Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1500,1500,1200,850,500,1400
painting_2,sold,Mimic-Llama,1900,1800,900,1900,1600,1100
painting_3,sold,Mimic-Llama,2000,1900,900,2000,1600,1200
painting_4,sold,Mimic-Opus,2400,2200,1100,550,2400,1400
painting_5,sold,Math-T5,1750,1750,1650,450,950,1350
painting_6,sold,Math-T5,2600,2600,2300,2200,2000,2500
painting_7,sold,Mimic-Llama,4250,3750,2900,4250,2400,1500
painting_8,sold,Mimic-GPT-5.4,4250,4000,4250,800,2700,2400
painting_9,sold,Mimic-Pro,4000,3500,2800,1800,3750,4000
painting_10,sold,Mimic-Opus,5600,,1900,1700,5600,5350
painting_11,sold,Mimic-Pro,5750,350,5500,1500,1700,5750
painting_12,sold,Mimic-GPT-5.4,2100,,2100,1600,2000,200

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,4150,5850,0.585,12,12,0,3175.0
Mimic-GPT-5.4,2,3650,6350,0.635,12,12,0,3175.0
Mimic-Llama,3,1850,8150,0.815,12,12,0,3175.0
Mimic-Opus,2,2000,8000,0.8,12,12,0,3175.0
Mimic-Pro,2,250,9750,0.975,12,12,0,3175.0
