Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1450,650,1150,1050,1450,1350
painting_2,sold,Mimic-Llama,1300,900,1100,1300,500,950
painting_3,sold,Mimic-Llama,1400,950,1200,1400,450,1300
painting_4,sold,Mimic-Pro,1500,1100,1000,900,1300,1500
painting_5,sold,Mimic-Pro,1900,1100,1500,450,1800,1900
painting_6,sold,Mimic-Llama,1800,1400,1700,1800,850,600
painting_7,sold,Mimic-GPT-5.4,2450,1650,2450,850,2350,1050
painting_8,sold,Mimic-Llama,2350,1950,1850,2350,2250,850
painting_9,sold,Mimic-GPT-5.4,2800,2500,2800,2700,2600,1000
painting_10,sold,Math-T2,2900,2900,1900,2300,2800,2100
painting_11,sold,Mimic-Opus,3750,3500,2800,2100,3750,3000
painting_12,sold,Math-T2,4850,4850,4600,2900,2800,4350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,2250,7750,0.775,12,12,0,2370.833
Mimic-GPT-5.4,2,4750,5250,0.525,12,12,0,2370.833
Mimic-Llama,4,3150,6850,0.685,12,12,0,2370.833
Mimic-Opus,2,4800,5200,0.52,12,12,0,2370.833
Mimic-Pro,2,6600,3400,0.34,12,12,0,2370.833
