Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1000,1000,950,650,800,750
painting_2,sold,Math-T1,3750,3750,1000,3500,1200,1100
painting_3,sold,Math-T1,3750,3750,1300,3500,1600,1900
painting_4,sold,Mimic-Llama,1700,1000,1200,1700,1600,1400
painting_5,sold,Mimic-Llama,2500,1400,1700,2500,2400,1200
painting_6,sold,Mimic-Llama,2900,1300,2600,2900,2800,2200
painting_7,sold,Mimic-GPT-5.4,2900,1200,2900,2800,150,2300
painting_8,sold,Mimic-Opus,3100,1000,2900,2400,3100,2700
painting_9,sold,Mimic-Pro,4000,1000,3750,2700,3500,4000
painting_10,sold,Mimic-Opus,5750,1200,4250,2900,5750,5250
painting_11,sold,Mimic-GPT-5.4,5750,1500,5750,2600,1000,5250
painting_12,sold,Mimic-Pro,3000,1500,950,2900,1100,3000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1500,8500,0.85,12,12,0,3341.667
Mimic-GPT-5.4,2,1350,8650,0.865,12,12,0,3341.667
Mimic-Llama,3,2900,7100,0.71,12,12,0,3341.667
Mimic-Opus,2,1150,8850,0.885,12,12,0,3341.667
Mimic-Pro,2,3000,7000,0.7,12,12,0,3341.667
