Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1500,1500,1000,1100,1400,900
painting_2,sold,Math-T5,1350,1350,1050,1150,850,1250
painting_3,sold,Mimic-Opus,1400,,1300,850,1400,1200
painting_4,sold,Math-T5,1600,1600,1000,1100,800,1500
painting_5,sold,Math-T5,1750,1750,1450,1150,850,1650
painting_6,sold,Math-T5,2300,2300,2200,1700,1200,1900
painting_7,sold,Mimic-Grok,2100,1100,2000,2100,1400,1900
painting_8,sold,Mimic-GPT-5.4,2700,1400,2700,1700,2200,2600
painting_9,sold,Mimic-GPT-5.4,2600,550,2600,1600,2500,1900
painting_10,sold,Mimic-Pro,3750,600,2100,,3500,3750
painting_11,sold,Mimic-Opus,5000,,3000,4500,5000,2800
painting_12,sold,Mimic-GPT-5.4,4050,500,4050,1750,2750,3800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,5,1500,8500,0.85,12,12,0,2508.333
Mimic-GPT-5.4,3,650,9350,0.935,12,12,0,2508.333
Mimic-Grok,1,7900,2100,0.21,12,12,0,2508.333
Mimic-Opus,2,3600,6400,0.64,12,12,0,2508.333
Mimic-Pro,1,6250,3750,0.375,12,12,0,2508.333
