Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,1000,900,750,800,1100
painting_2,sold,Mimic-Llama,1700,1200,650,1700,1600,950
painting_3,sold,Mimic-Opus,1600,950,550,1500,1600,650
painting_4,sold,Mimic-Opus,1500,1100,1000,1400,1500,1200
painting_5,sold,Mimic-Llama,1600,1500,800,1600,550,1100
painting_6,sold,Mimic-Llama,2100,2000,1000,2100,500,900
painting_7,sold,Mimic-GPT-5.4,2100,2100,1900,800,500,1400
painting_8,sold,Mimic-Llama,2300,2100,2000,2300,700,2200
painting_9,sold,Mimic-Grok,3250,2900,3250,600,1100,3000
painting_10,sold,Mimic-Pro,3850,3600,1200,1000,1100,3850
painting_11,sold,Mimic-GPT-5.4,4250,4250,3250,1700,4000,3750
painting_12,sold,Mimic-Opus,5500,3500,5250,1800,5500,2900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,3650,6350,0.635,12,12,0,2570.833
Mimic-Grok,1,6750,3250,0.325,12,12,0,2570.833
Mimic-Llama,4,2300,7700,0.77,12,12,0,2570.833
Mimic-Opus,3,1400,8600,0.86,12,12,0,2570.833
Mimic-Pro,2,5050,4950,0.495,12,12,0,2570.833
