Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1700,1700,900,1200,1000,1600
painting_2,sold,Mimic-Llama,4500,4000,1300,4500,950,400
painting_3,sold,Math-T4,1800,1800,350,600,1500,1700
painting_4,sold,Math-T4,3000,3000,1300,2900,2700,1400
painting_5,sold,Mimic-Llama,4000,3500,1500,4000,2900,2100
painting_6,sold,Math-T4,2500,2500,1200,1100,2400,1800
painting_7,sold,Mimic-Opus,2600,950,1100,1400,2600,2400
painting_8,sold,Mimic-Grok,4250,750,4250,1200,2700,4000
painting_9,sold,Mimic-Pro,3500,800,1400,1300,3250,3500
painting_10,sold,Mimic-Pro,6000,800,5750,1200,5250,6000
painting_11,sold,Mimic-Opus,5600,900,5100,1200,5600,400
painting_12,sold,Mimic-Grok,1750,950,1750,1450,1650,350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,4,1000,9000,0.9,12,12,0,3433.333
Mimic-Grok,2,4000,6000,0.6,12,12,0,3433.333
Mimic-Llama,2,1500,8500,0.85,12,12,0,3433.333
Mimic-Opus,2,1800,8200,0.82,12,12,0,3433.333
Mimic-Pro,2,500,9500,0.95,12,12,0,3433.333
