Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1400,1400,1000,100,1300,900
painting_2,sold,Math-T1,1400,1400,300,900,1300,1000
painting_3,sold,Math-T1,1700,1700,1300,1000,1600,1200
painting_4,sold,Math-T1,2200,2200,1300,800,1500,2100
painting_5,sold,Math-T1,1700,1700,1400,850,300,1600
painting_6,sold,Mimic-Grok,2700,1100,2600,2700,2100,1700
painting_7,sold,Mimic-Opus,3250,950,3000,1600,3250,2500
painting_8,sold,Mimic-GPT-5.4,2800,1400,2800,150,600,2700
painting_9,sold,Mimic-Pro,3000,1500,1800,2500,2900,3000
painting_10,sold,Mimic-Grok,4350,1600,3850,4350,2800,2500
painting_11,sold,Mimic-GPT-5.4,5250,1500,5250,1400,4000,4750
painting_12,sold,Mimic-Opus,1900,1500,1800,450,1900,750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,1600,8400,0.84,12,12,0,2637.5
Mimic-GPT-5.4,2,1950,8050,0.805,12,12,0,2637.5
Mimic-Grok,2,2950,7050,0.705,12,12,0,2637.5
Mimic-Opus,2,4850,5150,0.515,12,12,0,2637.5
Mimic-Pro,1,7000,3000,0.3,12,12,0,2637.5
