Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T5,1300,1300,950,850,1200,750
painting_2,sold,Mimic-Llama,2400,1900,900,1400,2400,2100
painting_3,sold,Mimic-Llama,2200,2000,1000,500,2200,1300
painting_4,sold,Math-T5,1400,1400,1200,250,550,1300
painting_5,sold,Math-T5,2150,2150,1050,950,1950,2050
painting_6,sold,Mimic-Llama,3800,3550,2150,1950,3800,2950
painting_7,sold,Math-T5,4500,4500,3000,1600,600,4250
painting_8,sold,Mimic-Opus,5750,,5250,2900,1500,5750
painting_9,sold,Mimic-Grok,7750,,7250,7750,1400,3250
painting_10,sold,Mimic-GPT-5.4,3050,,3050,,1550,2950
painting_11,sold,Mimic-GPT-5.4,4750,,4750,2100,1600,4250
painting_12,sold,Mimic-Opus,2300,,1900,2200,1200,2300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,650,9350,0.935,12,12,0,3445.833
Mimic-GPT-5.4,2,2200,7800,0.78,12,12,0,3445.833
Mimic-Grok,1,2250,7750,0.775,12,12,0,3445.833
Mimic-Llama,3,1600,8400,0.84,12,12,0,3445.833
Mimic-Opus,2,1950,8050,0.805,12,12,0,3445.833
