Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1600,1600,1500,800,950,1100
painting_2,sold,Math-T4,4000,4000,250,3750,1600,1400
painting_3,sold,Mimic-Llama,4500,4000,700,4500,1200,400
painting_4,sold,Math-T4,4250,4250,2100,4000,2600,1900
painting_5,sold,Mimic-Llama,2950,,1550,2950,2850,2050
painting_6,sold,Mimic-Opus,2600,,1200,2500,2600,1700
painting_7,sold,Mimic-Opus,2700,,1200,2300,2700,2500
painting_8,sold,Mimic-Grok,4500,,4500,2500,1500,4250
painting_9,sold,Mimic-Pro,2600,,1800,2500,1500,2600
painting_10,sold,Mimic-Pro,4100,,3850,2300,2500,4100
painting_11,sold,Mimic-Grok,4850,,4850,2500,4600,150
painting_12,sold,Mimic-Opus,3800,,250,2550,3800,3300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,150,9850,0.985,12,12,0,3537.5
Mimic-Grok,2,650,9350,0.935,12,12,0,3537.5
Mimic-Llama,2,2550,7450,0.745,12,12,0,3537.5
Mimic-Opus,3,900,9100,0.91,12,12,0,3537.5
Mimic-Pro,2,3300,6700,0.67,12,12,0,3537.5
