Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1200,550,,1200,1000,
painting_2,sold,Opus,950,,200,900,950,
painting_3,sold,GPT-5.4,450,450,400,,250,
painting_4,sold,GPT-5.4,900,900,200,850,150,350
painting_5,sold,GPT-5.4,700,700,150,,650,
painting_6,sold,Opus,300,,,250,300,
painting_7,sold,GPT-5.4,350,350,300,,,100
painting_8,sold,Opus,450,200,400,,450,
painting_9,sold,GPT-5.4,850,850,300,,800,
painting_10,sold,GPT-5.4,1500,1500,,700,1400,
painting_11,sold,Opus,1700,850,1600,,1700,
painting_12,sold,Grok,8801,,8801,9051,100,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,6,5250,4750,0.475,12,12,0,1512.583
Grok,1,1199,8801,0.88,12,12,0,1512.583
Llama,1,8800,1200,0.12,12,12,0,1512.583
Opus,4,6600,3400,0.34,12,12,0,1512.583
Pro,0,10000,0,0.0,12,12,0,1512.583
