Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,950,,900,550,800,950
painting_2,sold,Math-T5,2100,2100,1100,1300,2000,1200
painting_3,sold,Mimic-Llama,1600,,1500,850,1600,1300
painting_4,sold,Math-T5,1400,1400,1300,1000,1100,950
painting_5,sold,Mimic-Llama,2750,2550,2150,2650,2750,1650
painting_6,sold,Math-T5,2600,2600,1100,1300,2500,1200
painting_7,sold,Math-T5,3750,3750,2600,,3500,1600
painting_8,sold,Mimic-Llama,4000,100,3750,,4000,1800
painting_9,sold,Mimic-GPT-5.4,5750,,5750,5500,1500,2400
painting_10,sold,Mimic-Grok,5500,,3500,5500,1000,5000
painting_11,sold,Mimic-Pro,4500,,4250,3250,1000,4500
painting_12,sold,Mimic-Grok,4350,,4100,4350,1400,3600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,150,9850,0.985,12,12,0,3270.833
Mimic-GPT-5.4,1,4250,5750,0.575,12,12,0,3270.833
Mimic-Grok,2,150,9850,0.985,12,12,0,3270.833
Mimic-Llama,3,1650,8350,0.835,12,12,0,3270.833
Mimic-Pro,2,4550,5450,0.545,12,12,0,3270.833
