Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1400,1400,650,1300,750,1000
painting_2,sold,Math-T1,4000,4000,550,3750,1200,1000
painting_3,sold,Math-T1,4250,4250,1900,4000,1400,1800
painting_4,sold,Mimic-Llama,2300,300,2000,2300,2200,1800
painting_5,sold,Mimic-Llama,2400,,2200,2400,2300,2100
painting_6,sold,Mimic-Llama,2550,,2250,2550,2350,2050
painting_7,sold,Mimic-Opus,2600,,1600,1400,2600,2500
painting_8,sold,Mimic-Pro,3000,,2800,1400,2600,3000
painting_9,sold,Mimic-Opus,3500,350,1200,2700,3500,3000
painting_10,sold,Mimic-Grok,2800,300,2800,2700,950,
painting_11,sold,Mimic-Pro,7000,350,6500,2400,2700,7000
painting_12,sold,Mimic-Grok,3800,300,3800,2550,3550,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,350,9650,0.965,12,12,0,3300.0
Mimic-Grok,2,3400,6600,0.66,12,12,0,3300.0
Mimic-Llama,3,2750,7250,0.725,12,12,0,3300.0
Mimic-Opus,2,3900,6100,0.61,12,12,0,3300.0
Mimic-Pro,2,0,10000,1.0,12,12,0,3300.0
