Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1100,1100,1000,850,800,950
painting_2,sold,Math-T1,3750,3750,900,800,3500,1100
painting_3,sold,Mimic-Llama,5500,5000,1600,650,5500,1400
painting_4,sold,Math-T1,2100,2100,1500,750,1700,2000
painting_5,sold,Mimic-Llama,4000,2600,3000,100,4000,3750
painting_6,sold,Mimic-Opus,3250,3000,2900,2400,350,3250
painting_7,sold,Mimic-GPT-5.4,3000,2900,3000,2500,350,2100
painting_8,sold,Mimic-Grok,3750,2700,3500,3750,300,2500
painting_9,sold,Mimic-GPT-5.4,4250,3000,4250,2700,350,3750
painting_10,sold,Mimic-Opus,6350,2800,2400,6100,450,6350
painting_11,sold,Mimic-Grok,3200,2900,2500,3200,350,150
painting_12,sold,Math-T1,2700,2700,2600,550,300,400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,4,350,9650,0.965,12,12,0,3579.167
Mimic-GPT-5.4,2,2750,7250,0.725,12,12,0,3579.167
Mimic-Grok,2,3050,6950,0.695,12,12,0,3579.167
Mimic-Llama,2,500,9500,0.95,12,12,0,3579.167
Mimic-Opus,2,400,9600,0.96,12,12,0,3579.167
