Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1210,750,600,1210,850,1110
painting_2,sold,Pro,1100,1000,850,650,800,1100
painting_3,sold,Llama,2100,1000,900,2100,1900,800
painting_4,sold,GPT-5.4,1200,1200,1100,650,1000,950
painting_5,sold,Opus,1200,900,1100,650,1200,950
painting_6,sold,Llama,1700,1000,1300,1700,1200,1500
painting_7,sold,Grok,1700,1600,1700,650,1400,1300
painting_8,sold,Pro,2000,1400,1900,1300,1600,2000
painting_9,sold,GPT-5.4,2300,2300,2000,1300,2200,1500
painting_10,sold,Grok,2500,1900,2500,1400,2400,2300
painting_11,sold,Pro,6501,200,100,150,,6501
painting_12,sold,Opus,6501,4340,699,4090,6501,399

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,6500,3500,0.35,12,12,0,2501.0
Grok,2,5800,4200,0.42,12,12,0,2501.0
Llama,3,4990,5010,0.501,12,12,0,2501.0
Opus,2,2299,7701,0.77,12,12,0,2501.0
Pro,3,399,9601,0.96,12,12,0,2501.0
