Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 2501.0

painting_1 | status=sold | winner=Llama | winning_bid=1210
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Opus RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Llama RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Opus RAISE to 550 (before=500, leader_after=bidder_5)
  turn 11: Grok RAISE to 600 (before=550, leader_after=bidder_1)
  turn 12: Llama RAISE to 700 (before=600, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 14: Pro RAISE to 800 (before=750, leader_after=bidder_4)
  turn 15: Opus RAISE to 850 (before=800, leader_after=bidder_5)
  turn 16: Grok PASS (before=850, leader_after=bidder_5)
  turn 17: Llama RAISE to 910 (before=850, leader_after=bidder_2)
  turn 18: GPT-5.4 PASS (before=910, leader_after=bidder_2)
  turn 19: Pro RAISE to 960 (before=910, leader_after=bidder_4)
  turn 20: Opus PASS (before=960, leader_after=bidder_4)
  turn 21: Llama RAISE to 1010 (before=960, leader_after=bidder_2)
  turn 22: Pro RAISE to 1110 (before=1010, leader_after=bidder_4)
  turn 23: Llama RAISE to 1210 (before=1110, leader_after=bidder_2)
  turn 24: Pro PASS (before=1210, leader_after=bidder_2)

painting_2 | status=sold | winner=Pro | winning_bid=1100
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Llama RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Opus RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok RAISE to 350 (before=300, leader_after=bidder_1)
