Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,1300,850,1300,900,1200,1100
painting_2,sold,Mimic-Llama,2100,800,900,1900,2100,1600
painting_3,sold,Mimic-Opus,1000,750,950,900,700,1000
painting_4,sold,Mimic-Grok,1250,1150,900,1250,1050,950
painting_5,sold,Mimic-Llama,1250,1150,850,600,1250,950
painting_6,sold,Mimic-Opus,1700,1300,1600,1400,1200,1700
painting_7,sold,Mimic-Llama,1950,1750,1550,500,1950,350
painting_8,sold,Mimic-Llama,2200,2000,2100,1600,2200,900
painting_9,sold,Mimic-GPT-5.4,2700,2600,2700,1900,700,1200
painting_10,sold,Math-T2,2600,2600,2500,2300,1200,2100
painting_11,sold,Mimic-Grok,4000,3500,3000,4000,2000,3250
painting_12,sold,Math-T2,6750,6750,5750,1100,2500,6500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,2,650,9350,0.935,12,12,0,2400.0
Mimic-GPT-5.4,2,6000,4000,0.4,12,12,0,2400.0
Mimic-Grok,2,4750,5250,0.525,12,12,0,2400.0
Mimic-Llama,4,2500,7500,0.75,12,12,0,2400.0
Mimic-Opus,2,7300,2700,0.27,12,12,0,2400.0
