Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T1,max_bid_Opus
painting_1,sold,Math-T1,1300,1000,650,1200,1300,700
painting_2,sold,Math-T1,2100,900,700,2000,2100,1200
painting_3,sold,Math-T1,2600,850,900,2500,2600,950
painting_4,sold,Math-T1,1300,1200,900,1100,1300,950
painting_5,sold,Opus,2700,1600,900,1200,2600,2700
painting_6,sold,Math-T1,2000,1900,1200,1400,2000,700
painting_7,sold,Llama,1800,1700,1500,1800,500,1200
painting_8,sold,Grok,2200,1800,2200,2100,500,1200
painting_9,sold,GPT-5.4,2100,2100,1700,2000,500,1200
painting_10,sold,Llama,2700,2600,2400,2700,500,2000
painting_11,sold,GPT-5.4,4750,4750,3750,3250,500,4500
painting_12,sold,Grok,7550,3150,7550,5400,,7300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,3150,6850,0.685,12,12,0,2758.333
Grok,2,250,9750,0.975,12,12,0,2758.333
Llama,2,5500,4500,0.45,12,12,0,2758.333
Math-T1,5,700,9300,0.93,12,12,0,2758.333
Opus,1,7300,2700,0.27,12,12,0,2758.333
