Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1300,1300,900,1200,950,800
painting_2,sold,Math-T1,3350,3350,600,3100,950,1100
painting_3,sold,Mimic-Llama,5500,5250,1100,5500,1200,1400
painting_4,sold,Math-T1,4250,4250,1300,4000,2800,1000
painting_5,sold,Mimic-Opus,3250,1000,2500,3000,3250,2000
painting_6,sold,Mimic-Grok,4300,900,4300,4050,1750,1850
painting_7,sold,Mimic-Llama,2900,900,1800,2900,2000,2700
painting_8,sold,Mimic-Pro,2700,1000,900,1600,2600,2700
painting_9,sold,Mimic-Pro,5050,900,1750,1550,4800,5050
painting_10,sold,Mimic-Opus,2200,800,2100,1500,2200,1900
painting_11,sold,Mimic-Grok,4500,950,4500,1600,4250,1900
painting_12,sold,Mimic-Opus,2200,950,1200,1600,2200,2100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,1100,8900,0.89,12,12,0,3458.333
Mimic-Grok,2,1200,8800,0.88,12,12,0,3458.333
Mimic-Llama,2,1600,8400,0.84,12,12,0,3458.333
Mimic-Opus,3,2350,7650,0.765,12,12,0,3458.333
Mimic-Pro,2,2250,7750,0.775,12,12,0,3458.333
