Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T4,1750,1750,1250,1650,800,1050
painting_2,sold,Math-T4,3000,3000,1400,1600,2900,950
painting_3,sold,Math-T4,3500,3500,900,,3250,2100
painting_4,sold,Mimic-Llama,1800,1600,1200,1400,1800,1500
painting_5,sold,Mimic-Llama,1750,1650,1550,750,1750,350
painting_6,sold,Mimic-Llama,2800,1100,2500,2200,2800,2600
painting_7,sold,Mimic-GPT-5.4,3050,1550,3050,2050,1050,2950
painting_8,sold,Mimic-Opus,2900,1200,2600,2800,2500,2900
painting_9,sold,Mimic-Grok,4100,1300,3850,4100,3350,2700
painting_10,sold,Mimic-Grok,5250,1400,4000,5250,2900,5000
painting_11,sold,Mimic-Opus,6750,1200,6500,450,3000,6750
painting_12,sold,Mimic-GPT-5.4,4000,1500,4000,,3500,300

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1750,8250,0.825,12,12,0,3387.5
Mimic-GPT-5.4,2,2950,7050,0.705,12,12,0,3387.5
Mimic-Grok,2,650,9350,0.935,12,12,0,3387.5
Mimic-Llama,3,3650,6350,0.635,12,12,0,3387.5
Mimic-Opus,2,350,9650,0.965,12,12,0,3387.5
