Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,900,700,800,600,900,850
painting_2,sold,Mimic-GPT-5.4,1200,900,1200,850,650,1100
painting_3,sold,Math-T3,950,950,850,550,600,900
painting_4,sold,Mimic-Pro,1100,1000,650,,800,1100
painting_5,sold,Mimic-Opus,1300,900,950,1100,1300,1000
painting_6,sold,Mimic-Grok,1600,1400,1500,1600,350,1200
painting_7,sold,Math-T3,1700,1700,1300,700,1100,1600
painting_8,sold,Mimic-GPT-5.4,2100,1500,2100,1200,1400,1900
painting_9,sold,Mimic-Pro,2200,1800,1400,2100,1200,2200
painting_10,sold,Math-T3,4000,4000,2600,3750,1400,750
painting_11,sold,Mimic-Grok,2900,2700,2800,2900,2600,2400
painting_12,sold,Mimic-Opus,4250,3000,3250,350,4250,4000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3350,6650,0.665,12,12,0,2016.667
Mimic-GPT-5.4,2,6700,3300,0.33,12,12,0,2016.667
Mimic-Grok,2,5500,4500,0.45,12,12,0,2016.667
Mimic-Opus,3,3550,6450,0.645,12,12,0,2016.667
Mimic-Pro,2,6700,3300,0.33,12,12,0,2016.667
