Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T1,1300,1300,900,1100,1000,1200
painting_2,sold,Math-T1,1150,1150,900,,1050,
painting_3,sold,Math-T1,1600,1600,1100,1400,850,1500
painting_4,sold,Math-T1,2400,2400,2000,1700,2300,1900
painting_5,sold,Math-T1,1900,1900,1200,1700,1500,1800
painting_6,sold,Mimic-Opus,2100,1500,2000,1700,2100,1300
painting_7,sold,Mimic-GPT-5.4,2200,1300,2200,1900,1400,2000
painting_8,sold,Mimic-Grok,2300,1500,1900,2300,1600,2200
painting_9,sold,Mimic-GPT-5.4,1800,1600,1800,,1700,750
painting_10,sold,Mimic-GPT-5.4,3250,1300,3250,1500,2300,3000
painting_11,sold,Mimic-Pro,2900,1300,1800,2200,2800,2900
painting_12,sold,Mimic-Opus,5500,1500,2400,5000,5500,3250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,5,1650,8350,0.835,12,12,0,2366.667
Mimic-GPT-5.4,3,2750,7250,0.725,12,12,0,2366.667
Mimic-Grok,1,7700,2300,0.23,12,12,0,2366.667
Mimic-Opus,2,2400,7600,0.76,12,12,0,2366.667
Mimic-Pro,1,7100,2900,0.29,12,12,0,2366.667
