Pairings per batch: 25 (5 LLMs × incl self)
Folder 'Negotiation Real LLM v1' = folder_97
Total episodes: 125 (5 batches × 25 pairings)
  [1/125] ok batch=1 GPT-5.4vsGPT-5.4 seed=26 attempts=1 30.8s save_slot_4967 
  [2/125] ok batch=1 GPT-5.4vsOpus    seed=28 attempts=1 43.4s save_slot_4968 
  [3/125] ok batch=1 GPT-5.4vsGrok    seed=27 attempts=1 55.5s save_slot_4966 
  [4/125] ok batch=1 GPT-5.4vsPro     seed=29 attempts=1 43.3s save_slot_4969 
  [5/125] ok batch=1 GPT-5.4vsLlama   seed=30 attempts=1 30.9s save_slot_4970 
  [6/125] ok batch=1    GrokvsGPT-5.4 seed=31 attempts=1 26.8s save_slot_4971 
  [7/125] ok batch=1    GrokvsPro     seed=34 attempts=1 31.1s save_slot_4974 
  [8/125] ok batch=1    GrokvsGrok    seed=32 attempts=1 47.4s save_slot_4972 
  [9/125] ok batch=1    GrokvsOpus    seed=33 attempts=1 55.7s save_slot_4973 
  [10/125] ok batch=1    GrokvsLlama   seed=35 attempts=1 43.2s save_slot_4975 
  [11/125] ok batch=1    OpusvsGPT-5.4 seed=36 attempts=1 51.2s save_slot_4976 
  [12/125] ok batch=1    OpusvsGrok    seed=37 attempts=1 51.4s save_slot_4977 
  [13/125] ok batch=1    OpusvsLlama   seed=40 attempts=1 26.8s save_slot_4980 
  [14/125] ok batch=1    OpusvsOpus    seed=38 attempts=1 55.4s save_slot_4978 
  [15/125] ok batch=1    OpusvsPro     seed=39 attempts=1 59.6s save_slot_4979 
  [16/125] ok batch=1     ProvsGPT-5.4 seed=41 attempts=1 30.9s save_slot_4981 
  [17/125] ok batch=1     ProvsGrok    seed=42 attempts=1 51.4s save_slot_4982 
  [18/125] ok batch=1     ProvsPro     seed=44 attempts=1 35.1s save_slot_4984 
  [19/125] ok batch=1     ProvsOpus    seed=43 attempts=1 51.5s save_slot_4983 
  [20/125] ok batch=1     ProvsLlama   seed=45 attempts=1 26.9s save_slot_4985 
  [21/125] ok batch=1   LlamavsGPT-5.4 seed=46 attempts=1 30.9s save_slot_4986 
  [22/125] ok batch=1   LlamavsGrok    seed=47 attempts=1 35.0s save_slot_4987 
  [23/125] ok batch=1   LlamavsOpus    seed=48 attempts=1 39.1s save_slot_4988 
  [24/125] ok batch=1   LlamavsPro     seed=49 attempts=1 30.9s save_slot_4989 
  [25/125] ok batch=1   LlamavsLlama   seed=50 attempts=1 35.0s save_slot_4990 
  [26/125] ok batch=2 GPT-5.4vsGPT-5.4 seed=51 attempts=1 26.8s save_slot_4991 
  [27/125] ok batch=2 GPT-5.4vsGrok    seed=52 attempts=1 39.0s save_slot_4992 
  [28/125] ok batch=2 GPT-5.4vsPro     seed=54 attempts=1 22.6s save_slot_4994 
  [29/125] ok batch=2 GPT-5.4vsOpus    seed=53 attempts=1 26.8s save_slot_4993 
