Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Opus,550,500,,200,550,
painting_2,sold,Llama,600,300,550,600,100,
painting_3,sold,GPT-5.4,150,150,,,,100
painting_4,sold,GPT-5.4,250,250,,,,200
painting_5,sold,Opus,500,450,,,500,
painting_6,sold,GPT-5.4,300,300,200,,250,
painting_7,sold,Grok,350,200,350,,150,300
painting_8,sold,GPT-5.4,650,650,250,,600,
painting_9,sold,Opus,100,,,,100,
painting_10,sold,GPT-5.4,1200,1200,200,,1100,
painting_11,sold,Opus,1300,1200,500,,1300,
painting_12,sold,Grok,9151,7450,9151,9401,100,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,5,7450,2550,0.255,12,12,0,1258.417
Grok,2,499,9501,0.95,12,12,0,1258.417
Llama,1,9400,600,0.06,12,12,0,1258.417
Opus,4,7550,2450,0.245,12,12,0,1258.417
Pro,0,10000,0,0.0,12,12,0,1258.417
