Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,950,500,100,950,850,
painting_2,sold,Opus,1500,800,100,1400,1500,250
painting_3,sold,GPT-5.4,300,300,100,250,,200
painting_4,sold,Grok,400,200,400,,300,
painting_5,sold,GPT-5.4,550,550,350,300,400,500
painting_6,sold,Opus,1300,1200,300,,1300,250
painting_7,sold,Pro,550,500,100,,150,550
painting_8,sold,GPT-5.4,950,950,100,250,900,
painting_9,sold,GPT-5.4,900,900,300,,850,
painting_10,sold,Opus,1000,950,100,250,1000,
painting_11,sold,GPT-5.4,1100,1100,1000,500,150,
painting_12,sold,Grok,9450,,9450,9700,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,5,6200,3800,0.38,12,12,0,1579.167
Grok,2,150,9850,0.985,12,12,0,1579.167
Llama,1,9050,950,0.095,12,12,0,1579.167
Opus,3,6200,3800,0.38,12,12,0,1579.167
Pro,1,9450,550,0.055,12,12,0,1579.167
