Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 1579.167

painting_1 | status=sold | winner=Llama | winning_bid=950
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 9: Llama RAISE to 400 (before=350, leader_after=bidder_5)
  turn 10: Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 11: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 12: Llama RAISE to 600 (before=500, leader_after=bidder_5)
  turn 13: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 14: GPT-5.4 PASS (before=650, leader_after=bidder_2)
  turn 15: Llama RAISE to 700 (before=650, leader_after=bidder_5)
  turn 16: Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 17: Llama RAISE to 800 (before=750, leader_after=bidder_5)
  turn 18: Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 19: Llama RAISE to 950 (before=850, leader_after=bidder_5)
  turn 20: Opus PASS (before=950, leader_after=bidder_5)

painting_2 | status=sold | winner=Opus | winning_bid=1500
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok PASS (before=300, leader_after=bidder_5)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Pro PASS (before=400, leader_after=bidder_3)
  turn 10: Llama RAISE to 500 (before=400, leader_after=bidder_5)
  turn 11: Opus RAISE to 550 (before=500, leader_after=bidder_2)
  turn 12: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_3)
  turn 13: Llama RAISE to 700 (before=600, leader_after=bidder_5)
  turn 14: Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 15: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_3)
  turn 16: Llama RAISE to 1000 (before=800, leader_after=bidder_5)
  turn 17: Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: GPT-5.4 PASS (before=1100, leader_after=bidder_2)
  turn 19: Llama RAISE to 1200 (before=1100, leader_after=bidder_5)
  turn 20: Opus RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 21: Llama RAISE to 1400 (before=1300, leader_after=bidder_5)
  turn 22: Opus RAISE to 1500 (before=1400, leader_after=bidder_2)
  turn 23: Llama PASS (before=1500, leader_after=bidder_2)

painting_3 | status=sold | winner=GPT-5.4 | winning_bid=300
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus PASS (before=100, leader_after=bidder_1)
  turn 3: GPT-5.4 RAISE to 150 (before=100, leader_after=bidder_3)
  turn 4: Pro RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 8: Pro PASS (before=300, leader_after=bidder_3)
  turn 9: Llama PASS (before=300, leader_after=bidder_3)

painting_4 | status=sold | winner=Grok | winning_bid=400
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama PASS (before=200, leader_after=bidder_3)
  turn 6: Grok RAISE to 250 (before=200, leader_after=bidder_1)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 PASS (before=300, leader_after=bidder_2)
  turn 9: Grok RAISE to 400 (before=300, leader_after=bidder_1)
  turn 10: Opus PASS (before=400, leader_after=bidder_1)

painting_5 | status=sold | winner=GPT-5.4 | winning_bid=550
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama RAISE to 300 (before=250, leader_after=bidder_5)
  turn 6: Grok RAISE to 350 (before=300, leader_after=bidder_1)
  turn 7: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Pro RAISE to 500 (before=450, leader_after=bidder_4)
  turn 10: Llama PASS (before=500, leader_after=bidder_4)
  turn 11: Grok PASS (before=500, leader_after=bidder_4)
  turn 12: Opus PASS (before=500, leader_after=bidder_4)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 14: Pro PASS (before=550, leader_after=bidder_3)

painting_6 | status=sold | winner=Opus | winning_bid=1300
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama PASS (before=250, leader_after=bidder_4)
  turn 6: Grok RAISE to 300 (before=250, leader_after=bidder_1)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Pro PASS (before=400, leader_after=bidder_3)
  turn 10: Grok PASS (before=400, leader_after=bidder_3)
  turn 11: Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 12: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 13: Opus RAISE to 550 (before=500, leader_after=bidder_2)
  turn 14: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_3)
  turn 15: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 16: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 17: Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 18: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_3)
  turn 19: Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 20: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 21: Opus RAISE to 950 (before=900, leader_after=bidder_2)
  turn 22: GPT-5.4 RAISE to 1000 (before=950, leader_after=bidder_3)
  turn 23: Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 24: GPT-5.4 RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 25: Opus RAISE to 1300 (before=1200, leader_after=bidder_2)
  turn 26: GPT-5.4 PASS (before=1300, leader_after=bidder_2)

painting_7 | status=sold | winner=Pro | winning_bid=550
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Llama PASS (before=250, leader_after=bidder_4)
  turn 6: Grok PASS (before=250, leader_after=bidder_4)
  turn 7: Opus PASS (before=250, leader_after=bidder_4)
  turn 8: GPT-5.4 RAISE to 300 (before=250, leader_after=bidder_3)
  turn 9: Pro RAISE to 350 (before=300, leader_after=bidder_4)
  turn 10: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 11: Pro RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 13: Pro RAISE to 550 (before=500, leader_after=bidder_4)
  turn 14: GPT-5.4 PASS (before=550, leader_after=bidder_4)

painting_8 | status=sold | winner=GPT-5.4 | winning_bid=950
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 9: Llama PASS (before=350, leader_after=bidder_3)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_2)
  turn 15: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 16: Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 17: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 18: Opus RAISE to 800 (before=750, leader_after=bidder_2)
  turn 19: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_3)
  turn 20: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 21: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 22: Opus PASS (before=950, leader_after=bidder_3)

painting_9 | status=sold | winner=GPT-5.4 | winning_bid=900
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama PASS (before=200, leader_after=bidder_3)
  turn 6: Grok RAISE to 300 (before=200, leader_after=bidder_1)
  turn 7: Opus RAISE to 350 (before=300, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 400 (before=350, leader_after=bidder_3)
  turn 9: Grok PASS (before=400, leader_after=bidder_3)
  turn 10: Opus RAISE to 450 (before=400, leader_after=bidder_2)
  turn 11: GPT-5.4 RAISE to 500 (before=450, leader_after=bidder_3)
  turn 12: Opus RAISE to 550 (before=500, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 600 (before=550, leader_after=bidder_3)
  turn 14: Opus RAISE to 650 (before=600, leader_after=bidder_2)
  turn 15: GPT-5.4 RAISE to 700 (before=650, leader_after=bidder_3)
  turn 16: Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 17: GPT-5.4 RAISE to 800 (before=750, leader_after=bidder_3)
  turn 18: Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 19: GPT-5.4 RAISE to 900 (before=850, leader_after=bidder_3)
  turn 20: Opus PASS (before=900, leader_after=bidder_3)

painting_10 | status=sold | winner=Opus | winning_bid=1000
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_3)
  turn 9: Llama PASS (before=350, leader_after=bidder_3)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_2)
  turn 13: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_3)
  turn 14: Opus RAISE to 600 (before=550, leader_after=bidder_2)
  turn 15: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 16: Opus RAISE to 700 (before=650, leader_after=bidder_2)
  turn 17: GPT-5.4 RAISE to 750 (before=700, leader_after=bidder_3)
  turn 18: Opus RAISE to 800 (before=750, leader_after=bidder_2)
  turn 19: GPT-5.4 RAISE to 850 (before=800, leader_after=bidder_3)
  turn 20: Opus RAISE to 900 (before=850, leader_after=bidder_2)
  turn 21: GPT-5.4 RAISE to 950 (before=900, leader_after=bidder_3)
  turn 22: Opus RAISE to 1000 (before=950, leader_after=bidder_2)
  turn 23: GPT-5.4 PASS (before=1000, leader_after=bidder_2)

painting_11 | status=sold | winner=GPT-5.4 | winning_bid=1100
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: Pro PASS (before=200, leader_after=bidder_3)
  turn 5: Llama RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok RAISE to 400 (before=250, leader_after=bidder_1)
  turn 7: Opus PASS (before=400, leader_after=bidder_1)
  turn 8: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_3)
  turn 9: Llama RAISE to 500 (before=450, leader_after=bidder_5)
  turn 10: Grok RAISE to 600 (before=500, leader_after=bidder_1)
  turn 11: GPT-5.4 RAISE to 650 (before=600, leader_after=bidder_3)
  turn 12: Llama PASS (before=650, leader_after=bidder_3)
  turn 13: Grok RAISE to 1000 (before=650, leader_after=bidder_1)
  turn 14: GPT-5.4 RAISE to 1100 (before=1000, leader_after=bidder_3)
  turn 15: Grok PASS (before=1100, leader_after=bidder_3)

painting_12 | status=sold | winner=Grok | winning_bid=9450
  turn 1: Grok RAISE to 9450 (before=0, leader_after=bidder_1)
  turn 2: Opus PASS (before=9450, leader_after=bidder_1)
  turn 3: GPT-5.4 PASS (before=9450, leader_after=bidder_1)
  turn 4: Pro PASS (before=9450, leader_after=bidder_1)
  turn 5: Llama RAISE to 9700 (before=9450, leader_after=bidder_1)
