Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-GPT-5.4,950,750,950,700,650,900
painting_2,sold,Mimic-Llama,1000,950,700,500,1000,850
painting_3,sold,Mimic-Opus,1600,950,750,900,1500,1600
painting_4,sold,Mimic-Llama,1600,900,1400,1300,1600,950
painting_5,sold,Mimic-Opus,1400,1000,1200,1300,600,1400
painting_6,sold,Mimic-Llama,1600,1500,1200,200,1600,300
painting_7,sold,Mimic-Grok,1850,1350,1550,1850,1650,250
painting_8,sold,Mimic-Llama,2100,1700,1800,1000,2100,850
painting_9,sold,Mimic-GPT-5.4,2600,2400,2600,1200,750,1400
painting_10,sold,Math-T2,3500,3500,2900,2500,2300,3250
painting_11,sold,Mimic-Grok,4750,2900,4500,4750,2500,3000
painting_12,sold,Mimic-Opus,7000,6500,5000,600,2600,7000

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,1,6500,3500,0.35,12,12,0,2495.833
Mimic-GPT-5.4,2,6450,3550,0.355,12,12,0,2495.833
Mimic-Grok,2,3400,6600,0.66,12,12,0,2495.833
Mimic-Llama,4,3700,6300,0.63,12,12,0,2495.833
Mimic-Opus,3,0,10000,1.0,12,12,0,2495.833
