Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Math-T1,1850,1850,1050,800,1350,1750
painting_2,sold,Math-T1,2400,2400,1300,500,2300,850
painting_3,sold,Mimic-Llama,5750,5500,1400,1600,5750,2100
painting_4,sold,Math-T1,2500,2500,1600,1800,2200,2400
painting_5,sold,Mimic-Llama,3500,3250,2200,2900,3500,2700
painting_6,sold,Mimic-Opus,3800,2850,3550,1850,450,3800
painting_7,sold,Mimic-Grok,5000,2900,4750,5000,650,700
painting_8,sold,Mimic-GPT-5.4,3750,3250,3750,1400,550,2700
painting_9,sold,Mimic-Opus,4050,2950,3800,1550,750,4050
painting_10,sold,Mimic-GPT-5.4,3250,3000,3250,1000,550,1100
painting_11,sold,Mimic-Grok,3500,3000,2900,3500,550,2100
painting_12,sold,Math-T1,3250,3250,3000,350,650,1900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,4,0,10000,1.0,12,12,0,3550.0
Mimic-GPT-5.4,2,3000,7000,0.7,12,12,0,3550.0
Mimic-Grok,2,1500,8500,0.85,12,12,0,3550.0
Mimic-Llama,2,750,9250,0.925,12,12,0,3550.0
Mimic-Opus,2,2150,7850,0.785,12,12,0,3550.0
