Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,1900,1900,1000,1800,1200,1400
painting_2,sold,Math-T4,4000,4000,1700,3750,1200,1900
painting_3,sold,Mimic-Llama,4300,4050,1350,4300,1550,1750
painting_4,sold,Math-T4,2600,2600,1700,2000,2500,1500
painting_5,sold,Mimic-Llama,5250,1200,2500,5250,5000,1800
painting_6,sold,Mimic-GPT-5.4,4050,1150,4050,200,3800,2650
painting_7,sold,Mimic-Opus,4750,1200,2900,450,4750,4500
painting_8,sold,Mimic-Pro,4750,1400,4500,200,3000,4750
painting_9,sold,Mimic-GPT-5.4,5350,1500,5350,300,5100,4600
painting_10,sold,Mimic-Pro,5250,1500,550,250,4850,5250
painting_11,sold,Mimic-Opus,1600,1400,500,450,1600,
painting_12,sold,Mimic-Opus,1450,1350,550,350,1450,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,1500,8500,0.85,12,12,0,3770.833
Mimic-GPT-5.4,2,600,9400,0.94,12,12,0,3770.833
Mimic-Llama,2,450,9550,0.955,12,12,0,3770.833
Mimic-Opus,3,2200,7800,0.78,12,12,0,3770.833
Mimic-Pro,2,0,10000,1.0,12,12,0,3770.833
