Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Opus,1000,600,850,650,950,1000
painting_2,sold,Mimic-Llama,1000,850,950,350,1000,600
painting_3,sold,Mimic-Llama,1200,1100,700,900,1200,550
painting_4,sold,Mimic-GPT-5.4,1600,1500,1600,700,1400,1100
painting_5,sold,Mimic-Llama,2300,1600,1100,750,2300,2100
painting_6,sold,Math-T3,1600,1600,1500,1000,1200,1300
painting_7,sold,Mimic-Grok,2700,2100,1700,2700,1800,2600
painting_8,sold,Math-T3,2500,2500,2300,1600,2400,2100
painting_9,sold,Mimic-Opus,2750,1850,2650,950,2450,2750
painting_10,sold,Mimic-GPT-5.4,4050,3800,4050,2750,2150,1750
painting_11,sold,Mimic-Grok,5750,5500,2900,5750,4750,3500
painting_12,sold,Mimic-Opus,5750,5500,3000,100,5000,5750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,2,5900,4100,0.41,12,12,0,2683.333
Mimic-GPT-5.4,2,4350,5650,0.565,12,12,0,2683.333
Mimic-Grok,2,1550,8450,0.845,12,12,0,2683.333
Mimic-Llama,3,5500,4500,0.45,12,12,0,2683.333
Mimic-Opus,3,500,9500,0.95,12,12,0,2683.333
