Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Opus,300,,200,250,300,
painting_2,sold,Llama,300,250,,300,,
painting_3,sold,GPT-5.4,150,150,,100,,
painting_4,sold,GPT-5.4,800,800,400,750,250,150
painting_5,sold,Grok,500,150,500,100,400,
painting_6,sold,Opus,350,,250,100,350,300
painting_7,sold,GPT-5.4,400,400,300,100,250,350
painting_8,sold,Opus,800,750,300,100,800,
painting_9,sold,Grok,300,,300,250,150,
painting_10,sold,Opus,950,900,250,100,950,
painting_11,sold,Opus,1300,,1200,100,1300,
painting_12,sold,Llama,8900,8650,,8900,,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,3,8650,1350,0.135,12,12,0,1254.167
Grok,2,9200,800,0.08,12,12,0,1254.167
Llama,2,800,9200,0.92,12,12,0,1254.167
Opus,5,6300,3700,0.37,12,12,0,1254.167
Pro,0,10000,0,0.0,12,12,0,1254.167
