Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Math-T5,max_bid_Opus
painting_1,sold,Llama,2000,1100,700,2000,1600,850
painting_2,sold,Math-T5,1100,1000,700,800,1100,850
painting_3,sold,Math-T5,1600,900,700,1000,1600,1500
painting_4,sold,Math-T5,1200,900,950,800,1200,1100
painting_5,sold,Llama,2600,900,950,2600,2400,2000
painting_6,sold,Llama,3600,1500,450,3600,3350,1800
painting_7,sold,Math-T5,2600,1400,1500,300,2600,2500
painting_8,sold,Math-T5,2900,2800,2000,1700,2900,1800
painting_9,sold,GPT-5.4,2500,2500,2300,1700,,2400
painting_10,sold,Grok,2700,2600,2700,1500,,900
painting_11,sold,Opus,5500,2100,5250,1600,,5500
painting_12,sold,GPT-5.4,7300,7300,5000,,,4500

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,2,200,9800,0.98,12,12,0,2966.667
Grok,1,7300,2700,0.27,12,12,0,2966.667
Llama,3,1800,8200,0.82,12,12,0,2966.667
Math-T5,5,600,9400,0.94,12,12,0,2966.667
Opus,1,4500,5500,0.55,12,12,0,2966.667
