Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1250,,1250,1050,800,900
painting_2,sold,Mimic-Llama,2100,2000,800,2100,1400,1000
painting_3,sold,Math-T5,1700,1700,450,1000,1600,1200
painting_4,sold,Math-T5,2400,2400,850,1900,2000,2300
painting_5,sold,Mimic-Llama,2500,2300,1300,2500,1900,1600
painting_6,sold,Math-T5,2700,2700,1600,1000,2600,1800
painting_7,sold,Mimic-Opus,3500,3000,2700,3250,3500,2400
painting_8,sold,Mimic-Llama,4300,2950,3050,4300,2750,4050
painting_9,sold,Mimic-Pro,3000,2700,2800,800,2500,3000
painting_10,sold,Mimic-GPT-5.4,3750,,3750,1100,3500,600
painting_11,sold,Mimic-Opus,4300,100,3300,950,4300,4050
painting_12,sold,Mimic-Pro,4900,,4650,850,2150,4900

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,3200,6800,0.68,12,12,0,3033.333
Mimic-GPT-5.4,2,5000,5000,0.5,12,12,0,3033.333
Mimic-Llama,3,1100,8900,0.89,12,12,0,3033.333
Mimic-Opus,2,2200,7800,0.78,12,12,0,3033.333
Mimic-Pro,2,2100,7900,0.79,12,12,0,3033.333
