Auction Bid Log Export
Total paintings processed: 12
Sold: 12 | Unsold: 0
Average winning bid: 1920.917

painting_1 | status=sold | winner=Llama | winning_bid=1200
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Pro PASS (before=250, leader_after=bidder_4)
  turn 6: Grok PASS (before=250, leader_after=bidder_4)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: Llama RAISE to 500 (before=300, leader_after=bidder_3)
  turn 9: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
  turn 10: Opus RAISE to 600 (before=550, leader_after=bidder_2)
  turn 11: Llama RAISE to 700 (before=600, leader_after=bidder_3)
  turn 12: GPT-5.4 PASS (before=700, leader_after=bidder_3)
  turn 13: Opus RAISE to 750 (before=700, leader_after=bidder_2)
  turn 14: Llama RAISE to 800 (before=750, leader_after=bidder_3)
  turn 15: Opus RAISE to 850 (before=800, leader_after=bidder_2)
  turn 16: Llama RAISE to 1000 (before=850, leader_after=bidder_3)
  turn 17: Opus RAISE to 1100 (before=1000, leader_after=bidder_2)
  turn 18: Llama RAISE to 1200 (before=1100, leader_after=bidder_3)
  turn 19: Opus PASS (before=1200, leader_after=bidder_3)

painting_2 | status=sold | winner=Opus | winning_bid=500
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Llama PASS (before=150, leader_after=bidder_2)
  turn 4: GPT-5.4 RAISE to 200 (before=150, leader_after=bidder_4)
  turn 5: Pro RAISE to 250 (before=200, leader_after=bidder_5)
  turn 6: Grok PASS (before=250, leader_after=bidder_5)
  turn 7: Opus RAISE to 300 (before=250, leader_after=bidder_2)
  turn 8: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 9: Pro PASS (before=350, leader_after=bidder_4)
  turn 10: Opus RAISE to 400 (before=350, leader_after=bidder_2)
  turn 11: GPT-5.4 RAISE to 450 (before=400, leader_after=bidder_4)
  turn 12: Opus RAISE to 500 (before=450, leader_after=bidder_2)
  turn 13: GPT-5.4 PASS (before=500, leader_after=bidder_2)

painting_3 | status=sold | winner=Llama | winning_bid=900
  turn 1: Grok RAISE to 100 (before=0, leader_after=bidder_1)
  turn 2: Opus RAISE to 150 (before=100, leader_after=bidder_2)
  turn 3: Llama RAISE to 200 (before=150, leader_after=bidder_3)
  turn 4: GPT-5.4 RAISE to 250 (before=200, leader_after=bidder_4)
  turn 5: Pro PASS (before=250, leader_after=bidder_4)
  turn 6: Grok PASS (before=250, leader_after=bidder_4)
  turn 7: Opus PASS (before=250, leader_after=bidder_4)
  turn 8: Llama RAISE to 300 (before=250, leader_after=bidder_3)
  turn 9: GPT-5.4 RAISE to 350 (before=300, leader_after=bidder_4)
  turn 10: Llama RAISE to 500 (before=350, leader_after=bidder_3)
  turn 11: GPT-5.4 RAISE to 550 (before=500, leader_after=bidder_4)
