Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_GPT-5.4,max_bid_Grok,max_bid_Llama,max_bid_Opus,max_bid_Pro
painting_1,sold,Llama,1200,550,100,1200,1100,
painting_2,sold,Opus,500,450,100,,500,250
painting_3,sold,Llama,900,850,100,900,150,
painting_4,sold,GPT-5.4,600,600,100,,550,
painting_5,sold,GPT-5.4,850,850,100,200,800,
painting_6,sold,Opus,800,750,100,200,800,
painting_7,sold,Llama,350,200,300,350,,
painting_8,sold,Llama,900,850,300,900,150,
painting_9,sold,Opus,1800,850,350,1700,1800,550
painting_10,sold,GPT-5.4,300,300,100,250,,
painting_11,sold,Grok,6601,1300,6601,6851,,
painting_12,sold,GPT-5.4,8250,8250,100,7150,6900,

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
GPT-5.4,4,0,10000,1.0,12,12,0,1920.917
Grok,1,3399,6601,0.66,12,12,0,1920.917
Llama,4,6650,3350,0.335,12,12,0,1920.917
Opus,3,6900,3100,0.31,12,12,0,1920.917
Pro,0,10000,0,0.0,12,12,0,1920.917
