Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T2,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Mimic-GPT-5.4,1000,600,1000,150,950,900
painting_2,sold,Mimic-Llama,1700,700,950,1000,1700,1600
painting_3,sold,Mimic-Llama,1150,950,900,1050,1150,450
painting_4,sold,Mimic-Pro,1300,900,850,950,1100,1300
painting_5,sold,Math-T2,1100,1100,1000,700,850,800
painting_6,sold,Mimic-Grok,2100,1100,2000,2100,950,1900
painting_7,sold,Mimic-GPT-5.4,1800,1000,1800,500,1400,1600
painting_8,sold,Mimic-Llama,2200,1600,950,1100,2200,2000
painting_9,sold,Mimic-Llama,2700,2300,1900,1200,2700,2400
painting_10,sold,Math-T2,2700,2700,2300,400,800,2600
painting_11,sold,Mimic-Grok,5000,3250,3000,5000,1300,4750
painting_12,sold,Math-T2,5850,5850,5600,550,1200,5350

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T2,3,350,9650,0.965,12,12,0,2383.333
Mimic-GPT-5.4,2,7200,2800,0.28,12,12,0,2383.333
Mimic-Grok,2,2900,7100,0.71,12,12,0,2383.333
Mimic-Llama,4,2250,7750,0.775,12,12,0,2383.333
Mimic-Pro,1,8700,1300,0.13,12,12,0,2383.333
