Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T1,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Pro
painting_1,sold,Math-T1,2000,2000,950,100,1900,1300
painting_2,sold,Math-T1,3550,3550,1550,400,3300,1050
painting_3,sold,Mimic-Llama,4500,4250,1100,2000,4500,1600
painting_4,sold,Math-T1,4250,4250,1200,1000,4000,1800
painting_5,sold,Mimic-Llama,2600,,2300,2500,2600,2200
painting_6,sold,Mimic-Grok,4000,,3750,4000,2700,2500
painting_7,sold,Mimic-Pro,2900,,2500,300,2800,2900
painting_8,sold,Mimic-GPT-5.4,2950,,2950,600,2850,2350
painting_9,sold,Mimic-Pro,5250,,4750,5000,2600,5250
painting_10,sold,Mimic-GPT-5.4,2900,,2900,2700,2600,1800
painting_11,sold,Mimic-Grok,4300,,4050,4300,2450,1750
painting_12,sold,Mimic-GPT-5.4,2900,,2900,1100,2700,1600

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T1,3,200,9800,0.98,12,12,0,3508.333
Mimic-GPT-5.4,3,1250,8750,0.875,12,12,0,3508.333
Mimic-Grok,2,1700,8300,0.83,12,12,0,3508.333
Mimic-Llama,2,2900,7100,0.71,12,12,0,3508.333
Mimic-Pro,2,1850,8150,0.815,12,12,0,3508.333
