Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Pro,1100,950,300,1000,550,1100
painting_2,sold,Mimic-Llama,1450,950,600,1450,1050,1350
painting_3,sold,Mimic-Opus,1400,1300,950,1000,1400,1100
painting_4,sold,Mimic-Llama,1100,1000,550,1100,750,850
painting_5,sold,Mimic-GPT-5.4,1800,1800,1500,1600,950,1200
painting_6,sold,Mimic-Grok,2450,1250,2450,2250,2350,1150
painting_7,sold,Mimic-Opus,2100,1800,950,2000,2100,1700
painting_8,sold,Mimic-Pro,2150,1850,2050,1650,1950,2150
painting_9,sold,Mimic-GPT-5.4,2100,2100,1400,150,1200,2000
painting_10,sold,Mimic-Grok,2700,2200,2700,800,1400,2600
painting_11,sold,Mimic-Pro,6100,4100,2700,5850,3350,6100
painting_12,sold,Mimic-Llama,6250,3000,400,6250,6000,150

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,6100,3900,0.39,12,12,0,2558.333
Mimic-Grok,2,4850,5150,0.515,12,12,0,2558.333
Mimic-Llama,3,1200,8800,0.88,12,12,0,2558.333
Mimic-Opus,2,6500,3500,0.35,12,12,0,2558.333
Mimic-Pro,3,650,9350,0.935,12,12,0,2558.333
