Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1100,1100,850,950,700,1000
painting_2,sold,Mimic-Llama,2000,1900,850,2000,1000,800
painting_3,sold,Mimic-Opus,2100,2000,1600,1400,2100,1500
painting_4,sold,Math-T5,2000,2000,1100,1400,700,1900
painting_5,sold,Mimic-Llama,2800,2700,2100,2800,1700,2000
painting_6,sold,Math-T5,2700,2700,2200,2000,1900,2600
painting_7,sold,Mimic-Llama,4250,4000,2900,4250,2300,2500
painting_8,sold,Mimic-Grok,4000,3750,4000,700,2300,3250
painting_9,sold,Mimic-Opus,4750,4000,1100,850,4750,4500
painting_10,sold,Mimic-Pro,4000,3750,2600,900,1400,4000
painting_11,sold,Mimic-Pro,4250,4000,3000,800,2800,4250
painting_12,sold,Mimic-Grok,3250,,3250,800,3000,1100

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,3,4200,5800,0.58,12,12,0,3100.0
Mimic-Grok,2,2750,7250,0.725,12,12,0,3100.0
Mimic-Llama,3,950,9050,0.905,12,12,0,3100.0
Mimic-Opus,2,3150,6850,0.685,12,12,0,3100.0
Mimic-Pro,2,1750,8250,0.825,12,12,0,3100.0
