Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus
painting_1,sold,Mimic-Llama,900,650,750,800,900,700
painting_2,sold,Mimic-Grok,1000,850,950,1000,800,900
painting_3,sold,Mimic-Opus,1700,900,1200,750,1500,1700
painting_4,sold,Mimic-Llama,1350,950,1050,150,1350,800
painting_5,sold,Math-T3,1500,1500,1300,750,1400,900
painting_6,sold,Mimic-GPT-5.4,1800,1100,1800,1700,800,1300
painting_7,sold,Math-T3,1900,1900,1300,700,1600,1800
painting_8,sold,Mimic-Llama,2600,1400,1800,2500,2600,2300
painting_9,sold,Mimic-Grok,2950,1650,2850,2950,2350,1850
painting_10,sold,Math-T3,3750,3750,3000,1100,1200,3500
painting_11,sold,Mimic-GPT-5.4,4300,2250,4300,2050,4050,3300
painting_12,sold,Mimic-Opus,5250,2800,3000,750,5000,5250

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,2850,7150,0.715,12,12,0,2416.667
Mimic-GPT-5.4,2,3900,6100,0.61,12,12,0,2416.667
Mimic-Grok,2,6050,3950,0.395,12,12,0,2416.667
Mimic-Llama,3,5150,4850,0.485,12,12,0,2416.667
Mimic-Opus,2,3050,6950,0.695,12,12,0,2416.667
