Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Opus,1300,1100,900,1200,1300,700
painting_2,sold,Mimic-Llama,1050,950,700,1050,400,900
painting_3,sold,Mimic-Llama,1450,800,550,1450,150,1350
painting_4,sold,Mimic-Pro,2100,950,1200,1800,1300,2100
painting_5,sold,Mimic-GPT-5.4,1750,1750,1550,1150,850,950
painting_6,sold,Mimic-Llama,1550,900,1350,1550,850,600
painting_7,sold,Mimic-Llama,2400,1600,2300,2400,1000,1100
painting_8,sold,Mimic-Grok,2400,2300,2400,600,2000,1500
painting_9,sold,Mimic-GPT-5.4,2600,2600,1800,900,2500,2000
painting_10,sold,Mimic-Pro,3250,2300,2600,2900,3000,3250
painting_11,sold,Mimic-Opus,2700,2500,1700,2600,2700,200
painting_12,sold,Mimic-Opus,4750,4500,800,2600,4750,2400

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Mimic-GPT-5.4,2,5650,4350,0.435,12,12,0,2275.0
Mimic-Grok,1,7600,2400,0.24,12,12,0,2275.0
Mimic-Llama,4,3550,6450,0.645,12,12,0,2275.0
Mimic-Opus,3,1250,8750,0.875,12,12,0,2275.0
Mimic-Pro,2,4650,5350,0.535,12,12,0,2275.0
