Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,1100,800,450,1100,750,1000
painting_2,sold,Mimic-Opus,1200,1000,350,800,1200,1100
painting_3,sold,Mimic-Llama,1600,1000,600,1600,400,1500
painting_4,sold,Math-T3,1400,1400,850,1000,650,1300
painting_5,sold,Mimic-Pro,1750,1250,1450,1350,1650,1750
painting_6,sold,Mimic-Grok,1600,1000,1600,1500,1400,1300
painting_7,sold,Mimic-Grok,2050,1550,2050,1950,1450,1850
painting_8,sold,Math-T3,2300,2300,700,2000,1800,2200
painting_9,sold,Mimic-Llama,2400,1600,750,2400,2100,250
painting_10,sold,Math-T3,3500,3500,1600,2100,3250,2800
painting_11,sold,Mimic-Opus,4500,2400,750,3000,4500,4250
painting_12,sold,Mimic-Pro,4850,2500,200,4600,2400,4850

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,2800,7200,0.72,12,12,0,2354.167
Mimic-Grok,2,6350,3650,0.365,12,12,0,2354.167
Mimic-Llama,3,4900,5100,0.51,12,12,0,2354.167
Mimic-Opus,2,4300,5700,0.57,12,12,0,2354.167
Mimic-Pro,2,3400,6600,0.66,12,12,0,2354.167
