Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T4,max_bid_Mimic-GPT-5.4,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T4,2000,2000,1200,1000,1300,1900
painting_2,sold,Math-T4,2300,2300,1600,2200,950,2000
painting_3,sold,Mimic-Llama,4800,4550,1950,4800,1550,1850
painting_4,sold,Mimic-Llama,4500,4250,2400,4500,2100,900
painting_5,sold,Math-T4,2500,2500,2300,100,2400,1600
painting_6,sold,Mimic-Opus,3300,3050,2650,700,3300,2150
painting_7,sold,Mimic-GPT-5.4,3500,2700,3500,550,1900,3250
painting_8,sold,Mimic-Pro,4050,2750,3550,700,2650,4050
painting_9,sold,Mimic-Pro,5000,3000,3750,500,4750,5000
painting_10,sold,Mimic-Opus,5800,2550,5550,450,5800,950
painting_11,sold,Mimic-GPT-5.4,3250,3000,3250,700,850,950
painting_12,sold,Mimic-GPT-5.4,3100,2900,3100,700,900,800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T4,3,3200,6800,0.68,12,12,0,3675.0
Mimic-GPT-5.4,3,150,9850,0.985,12,12,0,3675.0
Mimic-Llama,2,700,9300,0.93,12,12,0,3675.0
Mimic-Opus,2,900,9100,0.91,12,12,0,3675.0
Mimic-Pro,2,950,9050,0.905,12,12,0,3675.0
