Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T3,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Mimic-Llama,900,600,,900,750,850
painting_2,sold,Math-T3,950,950,550,800,850,900
painting_3,sold,Mimic-Opus,1750,750,1350,1650,1750,1150
painting_4,sold,Mimic-Llama,2100,750,1900,2100,650,1200
painting_5,sold,Mimic-Pro,1300,950,1200,1000,850,1300
painting_6,sold,Mimic-Grok,1700,1000,1700,1100,1400,1600
painting_7,sold,Math-T3,1700,1700,1500,1300,1000,1600
painting_8,sold,Mimic-Llama,2100,1600,1200,2100,1900,2000
painting_9,sold,Mimic-Opus,2900,2100,2700,1100,2900,2500
painting_10,sold,Math-T3,4250,4250,1400,2200,1000,4000
painting_11,sold,Mimic-Grok,3750,2400,3750,3500,1900,350
painting_12,sold,Mimic-Pro,4750,2900,900,4250,4500,4750

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T3,3,3100,6900,0.69,12,12,0,2345.833
Mimic-Grok,2,4550,5450,0.545,12,12,0,2345.833
Mimic-Llama,3,4900,5100,0.51,12,12,0,2345.833
Mimic-Opus,2,5350,4650,0.465,12,12,0,2345.833
Mimic-Pro,2,3950,6050,0.605,12,12,0,2345.833
