Auction Max Bid Per Painting
painting_id,status,winner_id,winning_bid,max_bid_Math-T5,max_bid_Mimic-Grok,max_bid_Mimic-Llama,max_bid_Mimic-Opus,max_bid_Mimic-Pro
painting_1,sold,Math-T5,1300,1300,,1100,1200,650
painting_2,sold,Mimic-Llama,2000,1900,1400,2000,950,1100
painting_3,sold,Math-T5,1800,1800,900,850,1700,1200
painting_4,sold,Mimic-Llama,2200,1900,1700,2200,2100,1100
painting_5,sold,Math-T5,1700,1700,1100,1000,1600,1500
painting_6,sold,Mimic-Llama,3500,3250,1600,3500,2600,1400
painting_7,sold,Math-T5,4500,4500,2600,1500,4250,2400
painting_8,sold,Mimic-Opus,3500,,2400,2000,3500,3250
painting_9,sold,Mimic-Pro,4000,150,3750,2100,2400,4000
painting_10,sold,Mimic-Grok,3750,,3750,2200,3250,2600
painting_11,sold,Mimic-Opus,5800,,1950,1850,5800,5550
painting_12,sold,Mimic-Grok,6050,,6050,2250,550,5800

Auction Summary
bidder,paintings_won,remaining_budget,total_spent,budget_utilization_rate,total_paintings,sold_count,unsold_count,average_winning_bid
Math-T5,4,700,9300,0.93,12,12,0,3341.667
Mimic-Grok,2,200,9800,0.98,12,12,0,3341.667
Mimic-Llama,3,2300,7700,0.77,12,12,0,3341.667
Mimic-Opus,2,700,9300,0.93,12,12,0,3341.667
Mimic-Pro,1,6000,4000,0.4,12,12,0,3341.667
